AVAPS-T04 STA 234030497 240813 172632.54
AVAPS-T04 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS
AVAPS-T04 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T04 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)
AVAPS-T04 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D04 P10 234030497 240813 172640.00 9999.00  99.00 999.00 272.61 194.43  -0.27  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172640.25  856.28  21.15  11.37 272.57 194.46   0.39  -23.363513   4.801736 99999.00  10  11.37 999.00  10  0.16 13871.04
AVAPS-D04 P10 234030497 240813 172640.50 9999.00  99.00 999.00 272.57 194.45  -0.14  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.15 99999.00
AVAPS-D04 P00 234030497 240813 172640.75  856.22  21.15  11.38 272.55 194.47  -0.10  -23.362639   4.801698 99999.00  10  11.38 999.00  10  0.15 13871.18
AVAPS-D04 P10 234030497 240813 172641.00 9999.00  99.00 999.00 272.53 194.46  -0.08  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.15 99999.00
AVAPS-D04 P00 234030497 240813 172641.25  856.27  21.16  11.37 272.52 194.47   0.01  -23.361765   4.801660 99999.00  10  11.37 999.00  10  0.15 13871.36
AVAPS-D04 P10 234030497 240813 172641.50 9999.00  99.00 999.00 272.49 194.46   0.07  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172641.75  856.31  21.16  11.36 272.48 194.47   0.12  -23.360890   4.801622 99999.00  10  11.36 999.00  10  0.16 13871.56
AVAPS-D04 P10 234030497 240813 172642.00 9999.00  99.00 999.00 272.45 194.49   0.03  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172642.25  856.17  21.16  11.38 272.43 194.41  -0.00  -23.360016   4.801585 99999.00  10  11.38 999.00  10  0.16 13871.73
AVAPS-D04 P10 234030497 240813 172642.50 9999.00  99.00 999.00 272.38 194.49   0.40  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172642.75  856.21  21.17  11.36 272.39 194.50   0.03  -23.359142   4.801548 99999.00  10  11.36 999.00  10  0.16 13872.01
AVAPS-D04 P10 234030497 240813 172643.00 9999.00  99.00 999.00 272.37 194.52   0.11  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172643.25  856.17  21.17  11.37 272.35 194.51   0.10  -23.358268   4.801512 99999.00  10  11.37 999.00  10  0.16 13872.22
AVAPS-D04 P10 234030497 240813 172643.50 9999.00  99.00 999.00 272.32 194.51   0.22  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172643.75  856.33  21.17  11.38 272.30 194.51   0.13  -23.357393   4.801476 99999.00  10  11.38 999.00  10  0.16 13872.32
AVAPS-D04 P10 234030497 240813 172644.00 9999.00  99.00 999.00 272.27 194.52   0.11  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172644.25  856.33  21.18  11.37 272.25 194.51   0.13  -23.356519   4.801441 99999.00  10  11.37 999.00  10  0.16 13872.42
AVAPS-D04 P10 234030497 240813 172644.50 9999.00  99.00 999.00 272.22 194.53   0.09  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172644.75  856.26  21.18  11.37 272.20 194.53   0.06  -23.355644   4.801407 99999.00  10  11.37 999.00  10  0.16 13872.50
AVAPS-D04 P10 234030497 240813 172645.00 9999.00  99.00 999.00 272.17 194.56   0.02  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172645.25  856.26  21.18  11.36 272.16 194.56  -0.05  -23.354769   4.801374 99999.00  10  11.36 999.00  10  0.16 13872.58
AVAPS-D04 P10 234030497 240813 172645.50 9999.00  99.00 999.00 272.13 194.56  -0.03  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172645.75  856.40  21.18  11.35 272.12 194.58  -0.14  -23.353895   4.801341 99999.00  10  11.35 999.00  10  0.16 13872.63
AVAPS-D04 P10 234030497 240813 172646.00 9999.00  99.00 999.00 272.09 194.59  -0.14  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172646.25  856.21  21.19  11.37 272.05 194.59  -0.00  -23.353020   4.801309 99999.00  10  11.37 999.00  10  0.16 13872.60
AVAPS-D04 P10 234030497 240813 172646.50 9999.00  99.00 999.00 272.04 194.60  -0.08  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172646.75  856.17  21.19  11.37 272.02 194.62  -0.13  -23.352145   4.801277 99999.00  10  11.37 999.00  10  0.16 13872.59
AVAPS-D04 P10 234030497 240813 172647.00 9999.00  99.00 999.00 272.00 194.61  -0.07  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172647.25  856.31  21.19  11.37 271.98 194.60  -0.20  -23.351270   4.801247 99999.00  10  11.37 999.00  10  0.16 13872.51
AVAPS-D04 P10 234030497 240813 172647.50 9999.00  99.00 999.00 271.95 194.73  -0.09  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172647.75  856.33  21.19  11.36 271.94 194.60  -0.38  -23.350395   4.801216 99999.00  10  11.36 999.00  10  0.16 13872.34
AVAPS-D04 P10 234030497 240813 172648.00 9999.00  99.00 999.00 271.92 194.64  -0.29  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172648.25  856.40  21.19  11.36 271.89 194.67  -0.18  -23.349520   4.801187 99999.00  10  11.36 999.00  10  0.16 13872.26
AVAPS-D04 P10 234030497 240813 172648.50 9999.00  99.00 999.00 271.89 194.66  -0.24  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172648.75  856.20  21.20  11.34 271.87 194.66  -0.41  -23.348645   4.801158 99999.00  10  11.34 999.00  10  0.16 13872.18
AVAPS-D04 P10 234030497 240813 172649.00 9999.00  99.00 999.00 271.84 194.68  -0.48  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172649.25  856.27  21.20  11.36 271.81 194.74  -0.07  -23.347770   4.801130 99999.00  10  11.36 999.00  10  0.17 13871.96
AVAPS-D04 P10 234030497 240813 172649.50 9999.00  99.00 999.00 271.81 194.67  -0.45  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.17 99999.00
AVAPS-D04 P00 234030497 240813 172649.75  856.25  21.20  11.36 271.78 194.68  -0.37  -23.346895   4.801103 99999.00  10  11.36 999.00  10  0.16 13871.81
AVAPS-D04 P10 234030497 240813 172650.00 9999.00  99.00 999.00 271.77 194.69  -0.40  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.17 99999.00
AVAPS-D04 P00 234030497 240813 172650.25  856.18  21.20  11.36 271.77 194.75  -0.27  -23.346020   4.801076 99999.00  10  11.36 999.00  10  0.17 13871.68
AVAPS-D04 P10 234030497 240813 172650.50 9999.00  99.00 999.00 271.76 194.72  -0.23  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.17 99999.00
AVAPS-D04 P00 234030497 240813 172650.75  856.27  21.20  11.37 271.73 194.73   0.01  -23.345144   4.801049 99999.00  10  11.37 999.00  10  0.17 13871.57
AVAPS-D04 P10 234030497 240813 172651.00 9999.00  99.00 999.00 271.72 194.71  -0.22  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.17 99999.00
AVAPS-D04 P00 234030497 240813 172651.25  856.17  21.20  11.34 271.69 194.77   0.05  -23.344269   4.801023 99999.00  10  11.34 999.00  10  0.17 13871.52
AVAPS-D04 P10 234030497 240813 172651.50 9999.00  99.00 999.00 271.67 194.75  -0.16  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172651.75  856.22  21.20  11.37 271.65 194.81  -0.11  -23.343393   4.800997 99999.00  10  11.37 999.00  10  0.16 13871.48
AVAPS-D04 P10 234030497 240813 172652.00 9999.00  99.00 999.00 271.63 194.78  -0.07  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
