AVAPS-T07 STA 234020777 240813 174401.27
AVAPS-T07 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS   
AVAPS-T07 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T07 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)  
AVAPS-T07 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D07 P00 234020777 240813 174408.00  856.86  20.32  12.94 181.03 222.37   0.09  -22.102152   5.978251 99999.00  10  12.94 999.00  10  0.13 13860.32
AVAPS-D07 P10 234020777 240813 174408.25 9999.00  99.00 999.00 181.00 222.34   0.15  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174408.50  856.78  20.32  12.94 180.99 222.38   0.12  -22.102134   5.979254 99999.00  10  12.94 999.00  10  0.13 13860.30
AVAPS-D07 P10 234020777 240813 174408.75 9999.00  99.00 999.00 180.96 222.37   0.12  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174409.00  856.64  20.32  12.95 180.93 222.37   0.18  -22.102118   5.980258 99999.00  10  12.95 999.00  10  0.13 13860.30
AVAPS-D07 P10 234020777 240813 174409.25 9999.00  99.00 999.00 180.93 222.37   0.05  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174409.50  856.79  20.32  12.93 180.92 222.34  -0.14  -22.102102   5.981261 99999.00  10  12.93 999.00  10  0.13 13860.47
AVAPS-D07 P10 234020777 240813 174409.75 9999.00  99.00 999.00 180.87 222.41   0.39  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174410.00  856.79  20.32  12.95 180.86 222.40   0.43  -22.102086   5.982264 99999.00  10  12.95 999.00  10  0.13 13860.51
AVAPS-D07 P10 234020777 240813 174410.25 9999.00  99.00 999.00 180.84 222.40   0.51  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174410.50  856.63  20.33  12.96 180.81 222.43   0.60  -22.102071   5.983268 99999.00  10  12.96 999.00  10  0.13 13860.67
AVAPS-D07 P10 234020777 240813 174410.75 9999.00  99.00 999.00 180.81 222.41   0.43  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174411.00  856.76  20.33  12.94 180.78 222.42   0.57  -22.102057   5.984271 99999.00  10  12.94 999.00  10  0.13 13860.88
AVAPS-D07 P10 234020777 240813 174411.25 9999.00  99.00 999.00 180.77 222.39   0.46  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174411.50  856.77  20.33  12.95 180.73 222.36   0.50  -22.102044   5.985274 99999.00  10  12.95 999.00  10  0.13 13861.10
AVAPS-D07 P10 234020777 240813 174411.75 9999.00  99.00 999.00 180.73 222.42   0.79  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174412.00  856.64  20.34  12.94 180.75 222.41   0.57  -22.102030   5.986277 99999.00  10  12.94 999.00  10  0.13 13861.06
AVAPS-D07 P10 234020777 240813 174412.25 9999.00  99.00 999.00 180.73 222.41   0.59  999.000000  99.000000 99999.00   9 999.00 999.00   9  0.19 99999.00
AVAPS-D07 P00 234020777 240813 174412.50  856.58  20.33  12.92 180.69 222.39   0.60  -22.102017   5.987282 99999.00  10  12.92 999.00  10  0.16 13862.18
AVAPS-D07 P10 234020777 240813 174412.75 9999.00  99.00 999.00 180.64 222.38   0.86  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174413.00  856.62  20.33  12.92 180.67 222.35   0.37  -22.102003   5.988286 99999.00  10  12.92 999.00  10  0.13 13862.40
AVAPS-D07 P10 234020777 240813 174413.25 9999.00  99.00 999.00 180.64 222.38   0.57  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174413.50  856.53  20.33  12.92 180.62 222.42   0.66  -22.101991   5.989289 99999.00  10  12.92 999.00  10  0.13 13862.64
AVAPS-D07 P10 234020777 240813 174413.75 9999.00  99.00 999.00 180.58 222.43   0.86  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174414.00  856.46  20.33  12.91 180.56 222.39   0.57  -22.101981   5.990292 99999.00  10  12.91 999.00  10  0.13 13862.61
AVAPS-D07 P10 234020777 240813 174414.25 9999.00  99.00 999.00 180.54 222.40   0.51  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174414.50  856.60  20.34  12.90 180.52 222.43   0.30  -22.101972   5.991295 99999.00  10  12.90 999.00  10  0.13 13862.92
AVAPS-D07 P10 234020777 240813 174414.75 9999.00  99.00 999.00 180.48 222.43   0.37  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174415.00  856.39  20.34  12.90 180.46 222.45   0.24  -22.101964   5.992299 99999.00  10  12.90 999.00  10  0.13 13863.53
AVAPS-D07 P10 234020777 240813 174415.25 9999.00  99.00 999.00 180.42 222.46   0.22  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174415.50  856.59  20.34  12.92 180.41 222.49   0.12  -22.101955   5.993303 99999.00  10  12.92 999.00  10  0.13 13863.64
AVAPS-D07 P10 234020777 240813 174415.75 9999.00  99.00 999.00 180.36 222.47   0.16  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174416.00  856.64  20.34  12.88 180.35 222.50   0.11  -22.101948   5.994307 99999.00  10  12.88 999.00  10  0.13 13863.65
AVAPS-D07 P10 234020777 240813 174416.25 9999.00  99.00 999.00 180.32 222.52   0.06  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174416.50  856.41  20.34  12.91 180.29 222.53   0.02  -22.101942   5.995310 99999.00  10  12.91 999.00  10  0.13 13863.67
AVAPS-D07 P10 234020777 240813 174416.75 9999.00  99.00 999.00 180.26 222.52  -0.06  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174417.00  856.52  20.34  12.89 180.24 222.55  -0.00  -22.101937   5.996314 99999.00  10  12.89 999.00  10  0.13 13863.62
AVAPS-D07 P10 234020777 240813 174417.25 9999.00  99.00 999.00 180.22 222.56  -0.07  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174417.50  856.43  20.35  12.87 180.18 222.58  -0.12  -22.101933   5.997318 99999.00  10  12.87 999.00  10  0.13 13863.56
AVAPS-D07 P10 234020777 240813 174417.75 9999.00  99.00 999.00 180.15 222.58  -0.14  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174418.00  856.32  20.35  12.88 180.12 222.59  -0.15  -22.101930   5.998323 99999.00  10  12.88 999.00  10  0.13 13863.45
AVAPS-D07 P10 234020777 240813 174418.25 9999.00  99.00 999.00 180.11 222.60  -0.28  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174418.50  856.49  20.35  12.87 180.08 222.64  -0.11  -22.101927   5.999327 99999.00  10  12.87 999.00  10  0.13 13863.30
AVAPS-D07 P10 234020777 240813 174418.75 9999.00  99.00 999.00 180.05 222.62  -0.15  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174419.00  856.43  20.35  12.88 180.04 222.62  -0.34  -22.101926   6.000332 99999.00  10  12.88 999.00  10  0.13 13863.17
AVAPS-D07 P10 234020777 240813 174419.25 9999.00  99.00 999.00 180.00 222.66  -0.19  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174419.50  856.42  20.36  12.86 179.99 222.68  -0.16  -22.101926   6.001336 99999.00  10  12.86 999.00  10  0.13 13862.98
AVAPS-D07 P10 234020777 240813 174419.75 9999.00  99.00 999.00 179.96 222.68  -0.21  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174420.00  856.36  20.36  12.85 179.95 222.67  -0.32  -22.101926   6.002341 99999.00  10  12.85 999.00  10  0.13 13862.79
AVAPS-D07 P10 234020777 240813 174420.25 9999.00  99.00 999.00 179.94 222.70  -0.30  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174420.50  856.44  20.36  12.87 179.90 222.69  -0.23  -22.101927   6.003346 99999.00  10  12.87 999.00  10  0.13 13862.56
AVAPS-D07 P10 234020777 240813 174420.75 9999.00  99.00 999.00 179.89 222.70  -0.16  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174421.00  856.38  20.36  12.86 179.87 222.72  -0.18  -22.101928   6.004351 99999.00  10  12.86 999.00  10  0.13 13862.40
AVAPS-D07 P10 234020777 240813 174421.25 9999.00  99.00 999.00 179.85 222.75  -0.03  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174421.50  856.40  20.37  12.87 179.84 222.71  -0.29  -22.101930   6.005355 99999.00  10  12.87 999.00  10  0.13 13862.24
AVAPS-D07 P10 234020777 240813 174421.75 9999.00  99.00 999.00 179.84 222.72  -0.40  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174422.00  856.20  20.37  12.88 179.79 222.75  -0.16  -22.101933   6.006360 99999.00  10  12.88 999.00  10  0.13 13862.07
AVAPS-D07 P10 234020777 240813 174422.25 9999.00  99.00 999.00 179.79 222.78  -0.28  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174422.50  856.33  20.37  12.88 179.77 222.78  -0.22  -22.101937   6.007365 99999.00  10  12.88 999.00  10  0.13 13861.93
AVAPS-D07 P10 234020777 240813 174422.75 9999.00  99.00 999.00 179.74 222.78  -0.30  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174423.00  856.13  20.37  12.87 179.72 222.79  -0.24  -22.101941   6.008371 99999.00  10  12.87 999.00  10  0.13 13861.78
AVAPS-D07 P10 234020777 240813 174423.25 9999.00  99.00 999.00 179.69 222.81  -0.25  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
