    UTC     Elapsed    Sig     PLL    Freq     Dev    Rcvr
    Time      Time     Str    Volts  Center   Level   Freq
hh:mm:ss.ss   (sec)   (dbm)   (vdc)   (vdc)   (vdc)   (MHz)
-----------------------------------------------------------
11:38:23.27    0.00  -84.04    0.00    0.00    0.00  404.20
11:38:26.88    0.00  -74.13    0.00    0.00    0.00  404.20
11:38:32.88    0.00  -89.83    0.00    0.00    0.00  404.20
11:38:38.87    0.00  -88.18    0.00    0.00    0.00  404.20
11:38:44.89    0.00  -87.35    0.00    0.00    0.00  404.20
11:38:50.88    0.00  -88.59    0.00    0.00    0.00  404.20
11:38:56.87    0.00  -88.59    0.00    0.00    0.00  404.20
11:39:02.87    0.00  -89.00    0.00    0.00    0.00  404.20
11:39:08.88    0.00  -89.00    0.00    0.00    0.00  404.20
11:39:14.87    0.00  -88.18    0.00    0.00    0.00  404.20
11:39:20.88    0.00  -89.42    0.00    0.00    0.00  404.20
11:39:26.87    0.00  -88.59    0.00    0.00    0.00  404.20
11:39:32.87    0.00  -89.00    0.00    0.00    0.00  404.20
11:39:38.86    0.00  -88.59    0.00    0.00    0.00  404.20
11:39:44.88    0.00  -89.42    0.00    0.00    0.00  404.20
11:39:50.87    0.00  -88.18    0.00    0.00    0.00  404.20
11:39:56.87    0.00  -89.00    0.00    0.00    0.00  404.20
11:40:02.87    0.00  -87.76    0.00    0.00    0.00  404.20
11:40:08.86    0.00  -88.59    0.00    0.00    0.00  404.20
11:40:14.86    0.00  -87.35    0.00    0.00    0.00  404.20
11:40:20.87    0.00  -88.18    0.00    0.00    0.00  404.20
11:40:26.87    0.00  -87.35    0.00    0.00    0.00  404.20
11:40:32.85    0.00  -88.18    0.00    0.00    0.00  404.20
11:40:38.87    0.00  -88.59    0.00    0.00    0.00  404.20
11:40:44.86    0.00  -86.52    0.00    0.00    0.00  404.20
11:40:50.87    0.00  -87.76    0.00    0.00    0.00  404.20
11:40:56.87    0.00  -85.70    0.00    0.00    0.00  404.20
11:41:02.87    0.00  -86.94    0.00    0.00    0.00  404.20
11:41:08.87    0.00  -85.70    0.00    0.00    0.00  404.20
11:41:14.87    0.00  -88.18    0.00    0.00    0.00  404.20
11:41:20.88    0.00  -87.76    0.00    0.00    0.00  404.20
11:41:26.88    0.00  -91.90    0.00    0.00    0.00  404.20
11:41:32.88    0.00  -89.42    0.00    0.00    0.00  404.20
11:41:38.87    0.00  -89.42    0.00    0.00    0.00  404.20
11:41:44.88    0.00  -91.07    0.00    0.00    0.00  404.20
11:41:50.89    0.00  -93.96    0.00    0.00    0.00  404.20
11:41:56.87    0.00  -88.59    0.00    0.00    0.00  404.20
11:42:02.89    0.00  -94.79    0.00    0.00    0.00  404.20
11:42:08.88    0.00  -75.37    0.00    0.00    0.00  404.20
11:42:14.88    0.00  -88.59    0.00    0.00    0.00  404.20
11:42:20.88    0.00  -89.42    0.00    0.00    0.00  404.20
11:42:26.87    0.00  -89.00    0.00    0.00    0.00  404.20
11:42:32.87    0.00  -87.76    0.00    0.00    0.00  404.20
11:42:38.87    0.00  -88.59    0.00    0.00    0.00  404.20
11:42:44.87    0.00  -96.85    0.00    0.00    0.00  404.20
11:42:50.88    0.00  -89.42    0.00    0.00    0.00  404.20
11:42:56.87    0.00  -89.00    0.00    0.00    0.00  404.20
11:43:02.89    0.00  -85.70    0.00    0.00    0.00  404.20
