    UTC     Elapsed    Sig     PLL    Freq     Dev    Rcvr
    Time      Time     Str    Volts  Center   Level   Freq
hh:mm:ss.ss   (sec)   (dbm)   (vdc)   (vdc)   (vdc)   (MHz)
-----------------------------------------------------------
10:47:33.97    0.00  -68.34    0.00    0.00    0.00  402.00
10:47:38.87    0.00  -68.34    0.00    0.00    0.00  402.00
10:47:44.86    0.00  -72.06    0.00    0.00    0.00  402.00
10:47:50.87    0.00  -74.54    0.00    0.00    0.00  402.00
10:47:56.85    0.00  -72.06    0.00    0.00    0.00  402.00
10:48:02.87    0.00  -69.58    0.00    0.00    0.00  402.00
10:48:08.85    0.00  -70.82    0.00    0.00    0.00  402.00
10:48:14.87    0.00  -71.24    0.00    0.00    0.00  402.00
10:48:20.86    0.00  -71.24    0.00    0.00    0.00  402.00
10:48:26.87    0.00  -70.00    0.00    0.00    0.00  402.00
10:48:32.87    0.00  -72.89    0.00    0.00    0.00  402.00
10:48:38.87    0.00  -70.00    0.00    0.00    0.00  402.00
10:48:44.87    0.00  -75.37    0.00    0.00    0.00  402.00
10:48:50.88    0.00  -81.57    0.00    0.00    0.00  402.00
10:48:56.86    0.00  -71.65    0.00    0.00    0.00  402.00
10:49:02.87    0.00 -110.08    0.00    0.00    0.00  402.00
10:49:08.86    0.00 -110.08    0.00    0.00    0.00  402.00
10:49:14.87    0.00 -110.08    0.00    0.00    0.00  402.00
10:49:20.86    0.00 -110.08    0.00    0.00    0.00  402.00
10:49:26.87    0.00 -110.90    0.00    0.00    0.00  402.00
10:49:32.86    0.00 -110.08    0.00    0.00    0.00  402.00
10:49:38.87    0.00 -110.08    0.00    0.00    0.00  402.00
10:49:44.86    0.00 -110.49    0.00    0.00    0.00  402.00
10:49:50.86    0.00 -110.49    0.00    0.00    0.00  402.00
10:49:56.87    0.00 -110.08    0.00    0.00    0.00  402.00
10:50:02.86    0.00 -110.08    0.00    0.00    0.00  402.00
10:50:08.87    0.00 -109.66    0.00    0.00    0.00  402.00
10:50:14.87    0.00 -109.66    0.00    0.00    0.00  402.00
10:50:20.86    0.00 -109.66    0.00    0.00    0.00  402.00
10:50:26.87    0.00 -109.25    0.00    0.00    0.00  402.00
10:50:32.87    0.00 -110.08    0.00    0.00    0.00  402.00
10:50:38.87    0.00 -109.25    0.00    0.00    0.00  402.00
10:50:44.87    0.00 -110.49    0.00    0.00    0.00  402.00
10:50:50.87    0.00 -109.25    0.00    0.00    0.00  402.00
10:50:56.87    0.00 -109.25    0.00    0.00    0.00  402.00
10:51:02.89    0.00 -109.25    0.00    0.00    0.00  402.00
10:51:08.87    0.00 -109.66    0.00    0.00    0.00  402.00
10:51:14.87    0.00 -109.25    0.00    0.00    0.00  402.00
10:51:20.87    0.00 -109.25    0.00    0.00    0.00  402.00
10:51:26.86    0.00 -109.25    0.00    0.00    0.00  402.00
10:51:32.88    0.00 -110.08    0.00    0.00    0.00  402.00
10:51:38.86    0.00 -110.08    0.00    0.00    0.00  402.00
10:51:44.87    0.00 -110.08    0.00    0.00    0.00  402.00
10:51:50.86    0.00 -109.25    0.00    0.00    0.00  402.00
10:51:56.87    0.00 -108.84    0.00    0.00    0.00  402.00
10:52:02.86    0.00 -108.84    0.00    0.00    0.00  402.00
10:52:08.87    0.00 -108.84    0.00    0.00    0.00  402.00
10:52:14.86    0.00 -109.25    0.00    0.00    0.00  402.00
